pick,season,team,mls_id
54,2010,FCD,dane-saintus
54,2011,NE,alan-koger
54,2014,HOU,michael-lisch
54,2015,VAN,jovan-blagojevic
55,2008,NE,spencer-wadsworth
55,2009,NE,tyrel-lacey
55,2010,DC,jordan-graye
55,2014,SEA,stefano-rijssel
55,2015,CLB,robert-kristo
56,2008,HOU,jeremy-barlow
56,2009,HOU,marcus-tracy
56,2010,COL,chris-cutshaw
56,2014,DC,zach-barnes
56,2015,FCD,will-seymore
57,2009,RSL,mfana-futhi-bhembe
57,2010,NE,adam-welch
57,2014,SKC,alex-martinez
57,2015,RSL,jordan-murrell
58,2009,CHI,richard-jata
58,2010,CHV,chris-ross
58,2014,VAN,mackenzie-pridham
58,2015,VAN,adam-montague
59,2009,COL,michael-holody
59,2010,SEA,jamel-wallace
59,2014,CHV,michael-nwiloh
59,2015,NYRB,shawn-mclaws
60,2009,CLB,chris-clements
60,2010,CLB,kwaku-nyamekye
60,2014,TOR,kene-eze
60,2015,CLB,tomas-gomez
61,2010,CLB,othaniel-yanez
61,2014,CHI,zach-bolden
61,2015,VAN,spencer-richey
62,2010,HOU,euan-holden
62,2014,FCD,ronny-santos-mendoza
62,2015,LA,daniel-keller
63,2010,CLB,shaun-francis
63,2014,PHI,luca-gimenez
63,2015,ORL,sidney-rivera
64,2010,RSL,kris-banghart
64,2014,VAN,michael-calderon
64,2015,NYC,markus-naglestad
65,2014,CHI,kadeem-dacres
65,2015,MTL,cameron-iwasa
66,2014,SJ,devante-dubose
66,2015,SJ,chimdum-mez
67,2014,MTL,jordan-ongaro
67,2015,COL,dominique-badji
68,2014,COL,albert-edward
68,2015,CHI,alex-shinsky
69,2014,DC,travis-golden
69,2015,CLB,kalen-ryden
70,2014,RSL,daniel-jackson
70,2015,TOR,sal-bernal
71,2014,POR,victor-chavez
71,2015,PHI,raymond-lee
72,2015,VAN,craig-nitti
73,2014,POR,nikita-kotlov
73,2015,SKC,tony-rocha
74,2014,SJ,billy-knutsen
74,2015,VAN,nikola-paunic
75,2014,CHI,bryan-ciesiulka
75,2015,SEA,charlie-lyon
76,2014,SKC,reinaldo-brenes
76,2015,FCD,janeil-hoilett
77,2014,SEA,fabio-pereira
77,2015,RSL,lucas-baldin
78,2015,COL,matt-jeffrey
79,2015,NYRB,manolo-sanchez
80,2015,SEA,andrew-bevin
81,2015,TOR,tyler-engel
82,2015,LA,andrew-wolverton
83,2015,COL,brandon-fricke
84,2015,POR,seth-casiple
1,2016,Chicago Fire,jack-harrison
2,2016,Philadelphia Union,josh-yaro
3,2016,Philadelphia Union,keegan-rosenberry
4,2016,Chicago Fire,brandon-vincent
5,2016,Real Salt Lake,omar-holness
6,2016,Philadelphia Union,fabian-herbers
7,2016,Orlando City SC,richie-laryea
8,2016,San Jose Earthquakes,andrew-tarbell
9,2016,Toronto FC,tsubasa-endoh
10,2016,New England Revolution,jordan-mccrary
11,2016,D.C. United,julian-buscher
12,2016,Chicago Fire,jonathan-campbell
13,2016,Orlando City SC,hadji-barry
14,2016,Montreal Impact,kyle-fisher
15,2016,Colorado Rapids,emmanuel-appiah
16,2016,Vancouver Whitecaps FC,cole-seiler
17,2016,FC Dallas,ryan-herman
18,2016,New York Red Bulls,justin-bilyeu
19,2016,Columbus Crew SC,rodrigo-saravia
20,2016,Portland Timbers,ben-polk
21,2016,Columbus Crew SC,chase-minter
22,2016,Chicago Fire,alex-morrell
23,2016,Philadelphia Union,taylor-washington
24,2016,Montreal Impact,michael-salazar
25,2016,Real Salt Lake,max-lachowecki
26,2016,Houston Dynamo,ivan-magalhaes
27,2016,Seattle Sounders FC,tony-alfaro
28,2016,San Jose Earthquakes,patrick-hodan
29,2016,Vancouver Whitecaps FC,christopher-hellmann
30,2016,New England Revolution,michael-gamble
31,2016,Columbus Crew SC,kyle-parker
32,2016,D.C. United,paul-clowes
33,2016,FC Dallas,timo-pitter
34,2016,Montreal Impact,eric-verso
35,2016,Seattle Sounders FC,zach-mathers
36,2016,Vancouver Whitecaps FC,thomas-sanner
37,2016,Colorado Rapids,dennis-castillo
38,2016,New York Red Bulls,zach-carroll
39,2016,Montreal Impact,keegan-smith
40,2016,Portland Timbers,neco-brett
41,2016,Columbus Crew SC,marshall-hollingsworth
42,2016,LA Galaxy,josh-turnley
43,2016,Colorado Rapids,chris-froschauer
44,2016,Philadelphia Union,mitchell-lurie
45,2016,FC Dallas,colin-bonner
46,2016,Real Salt Lake,amass-amankona
47,2016,Houston Dynamo,tj-casner
48,2016,Orlando City SC,antonio-matarazzo
49,2016,San Jose Earthquakes,kip-colvey
50,2016,Vancouver Whitecaps FC,james-moberg
51,2016,New England Revolution,femi-hollinger-janzen
52,2016,Sporting Kansas City,ryan-james
54,2016,Seattle Sounders FC,emir-alihodzic
55,2016,Montreal Impact,brendan-hines-ike
56,2016,Colorado Rapids,javan-torre
57,2016,Chicago Fire,vincent-keller
58,2016,Colorado Rapids,bradley-kamdem
59,2016,Toronto FC,mitchell-taintor
60,2016,Columbus Crew SC,vince-cicciarelli
61,2016,Portland Timbers,wade-hamilton
62,2016,Chicago Fire,vincent-mitchell
63,2016,Colorado Rapids,john-manga
64,2016,Philadelphia Union,cole-missimo
65,2016,Real Salt Lake,connor-sparrow
67,2016,D.C. United,liam-doyle
68,2016,Orlando City SC,tobenna-uzo
69,2016,San Jose Earthquakes,tyler-thompson
70,2016,Toronto FC,darius-madison
71,2016,Vancouver Whitecaps FC,josh-heard
72,2016,Sporting Kansas City,faik-hajderovic
76,2016,Seattle Sounders FC,michael-nelson
77,2016,Vancouver Whitecaps FC,tyler-david
78,2016,FC Dallas,jacob-speed
80,2016,Toronto FC,brian-james
81,2016,Portland Timbers,trevor-morley
